subject,crossover_operator,inheritance_rate,hybrid
Rhino,Linked,0.323446,true
Rhino,Two Point,0.011644,true
Rhino,One Point,0.011644,true
Rhino,Linked,0.012110,true
Rhino,Two Point,0.026027,false
Rhino,One Point,0.024870,false
Rhino,Linked,0.396183,true
Rhino,Two Point,0.333552,true
Rhino,One Point,0.332896,true
Rhino,Linked,0.295469,false
Rhino,Two Point,0.051105,false
Rhino,One Point,0.051105,false
Rhino,Linked,0.954420,true
Rhino,Two Point,0.002126,false
Rhino,One Point,0.002126,false
Rhino,Linked,0.901488,true
Rhino,Two Point,0.017422,true
Rhino,One Point,0.016924,true
Rhino,Linked,0.017422,true
Rhino,Two Point,0.246887,true
Rhino,One Point,0.256632,true
Rhino,Linked,0.328100,true
Rhino,Two Point,0.591147,false
Rhino,One Point,0.687245,false
Rhino,Linked,0.277228,true
Rhino,Two Point,0.740054,true
Rhino,One Point,0.257766,true
Rhino,Linked,0.741689,true
Rhino,Two Point,0.910734,true
Rhino,One Point,0.780791,false
Rhino,Linked,0.019209,true
Rhino,Two Point,0.037929,false
Rhino,One Point,0.375677,false
Rhino,Linked,0.346177,true
Rhino,Two Point,0.141076,true
Rhino,One Point,0.886984,false
Rhino,Linked,0.913484,true
Rhino,Two Point,0.018362,true
Rhino,One Point,0.019774,true
Rhino,Linked,0.707156,true
Rhino,Two Point,0.759020,false
Rhino,One Point,0.775357,false
Rhino,Linked,0.215793,true
Rhino,Two Point,0.642693,true
Rhino,One Point,0.014384,true
Rhino,Linked,0.014384,true
Rhino,Two Point,0.506150,true
Rhino,One Point,0.020046,true
Rhino,Linked,0.271982,true
Rhino,Two Point,0.730948,true
Rhino,One Point,0.793241,false
Rhino,Linked,0.238569,true
Rhino,Two Point,0.245567,true
Rhino,One Point,0.897904,false
Rhino,Linked,0.008598,true
Rhino,Two Point,0.238128,true
Rhino,One Point,0.823813,false
Rhino,Linked,0.058500,false
Rhino,Two Point,0.021919,true
Rhino,One Point,0.822698,true
Rhino,Linked,0.361909,true
Rhino,Two Point,0.237345,false
Rhino,One Point,0.347182,true
Rhino,Linked,0.354346,true
Rhino,Two Point,0.901291,true
Rhino,One Point,0.886105,true
Rhino,Linked,0.981017,true
Rhino,Two Point,0.381795,true
Rhino,One Point,0.026549,true
Rhino,Linked,0.026549,true
Rhino,Two Point,0.257119,false
Rhino,One Point,0.025175,false
Rhino,Linked,0.025175,false
Rhino,Two Point,0.634693,true
Rhino,One Point,0.684664,true
Rhino,Linked,0.648478,true
Rhino,Two Point,0.494331,false
Rhino,One Point,0.028571,false
Rhino,Linked,0.805442,true
Rhino,Two Point,0.017118,true
Rhino,One Point,0.017118,true
Rhino,Linked,0.964660,true
Rhino,Two Point,0.083663,true
Rhino,One Point,0.127141,true
Rhino,Linked,0.986166,true
Rhino,Two Point,0.893939,true
Rhino,One Point,0.530303,true
Rhino,Linked,0.924242,true
Rhino,Two Point,0.016209,true
Rhino,One Point,0.891490,false
Rhino,Linked,0.016209,true
Rhino,Two Point,0.845421,false
Rhino,One Point,0.901832,false
Rhino,Linked,0.945055,false
Rhino,Two Point,0.710027,true
Rhino,One Point,0.710027,true
Rhino,Linked,0.905149,false
Rhino,Two Point,0.621115,true
Rhino,One Point,0.621115,true
Rhino,Linked,0.019829,true
Rhino,Two Point,0.230256,true
Rhino,One Point,0.768632,true
Rhino,Linked,0.424917,true
Rhino,Two Point,0.743509,false
Rhino,One Point,0.236225,true
Rhino,Linked,0.308423,true
Rhino,Two Point,0.039505,false
Rhino,One Point,0.039505,false
Rhino,Linked,0.327939,false
Rhino,Two Point,0.200445,true
Rhino,One Point,0.008909,false
Rhino,Linked,0.008909,false
Rhino,Two Point,0.579104,false
Rhino,One Point,0.871642,true
Rhino,Linked,0.957214,false
Rhino,Two Point,0.120835,true
Rhino,One Point,0.141309,true
Rhino,Linked,0.147732,true
Rhino,Two Point,0.271619,true
Rhino,One Point,0.304121,true
Rhino,Linked,0.313407,false
Rhino,Two Point,0.011828,true
Rhino,One Point,0.011828,true
Rhino,Linked,0.545589,true
Rhino,Two Point,0.005125,true
Rhino,One Point,0.754004,true
Rhino,Linked,0.728379,true
Rhino,Two Point,0.401104,false
Rhino,One Point,0.038178,false
Rhino,Linked,0.403864,false
Rhino,Two Point,0.676331,true
Rhino,One Point,0.223384,false
Rhino,Linked,0.859791,true
Rhino,Two Point,0.456882,true
Rhino,One Point,0.423402,true
Rhino,Linked,0.960771,false
Rhino,Two Point,0.030731,true
Rhino,One Point,0.086794,false
Rhino,Linked,0.086794,false
Rhino,Two Point,0.336323,true
Rhino,One Point,0.920628,true
Rhino,Linked,0.017937,true
Rhino,Two Point,0.785714,true
Rhino,One Point,0.885253,true
Rhino,Linked,0.450230,true
Rhino,Two Point,0.424413,false
Rhino,One Point,0.040376,false
Rhino,Linked,0.424883,false
Rhino,Two Point,0.087558,true
Rhino,One Point,0.919355,true
Rhino,Linked,0.938940,false
Rhino,Two Point,0.262961,true
Rhino,One Point,0.011613,true
Rhino,Linked,0.276234,true
Rhino,Two Point,0.677233,true
Rhino,One Point,0.860231,true
Rhino,Linked,0.125360,true
Rhino,Two Point,0.276727,true
Rhino,One Point,0.029476,false
Rhino,Linked,0.933128,false
Rhino,Two Point,0.012241,false
Rhino,One Point,0.011770,false
Rhino,Linked,0.012241,false
Rhino,Two Point,0.002626,true
Rhino,One Point,0.002626,true
Rhino,Linked,0.919643,true
Rhino,Two Point,0.015228,true
Rhino,One Point,0.843655,false
Rhino,Linked,0.889848,true
Rhino,Two Point,0.737850,true
Rhino,One Point,0.724595,false
Rhino,Linked,0.777614,true
Rhino,Two Point,0.022546,false
Rhino,One Point,0.022546,false
Rhino,Linked,0.411141,true
Rhino,Two Point,0.010666,true
Rhino,One Point,0.172355,true
Rhino,Linked,0.680034,true
